od,wt,id
0.000,0.0,0.000
2.375,4.9,1.995
2.375,6.7,1.815
2.563,10.5,1.975
2.875,19.4,1.000
2.875,17.9,1.250
2.875,16.1,1.500
2.875,6.9,2.441
2.875,10.4,2.151
2.875,12.5,2.125
3.000,21.4,1.000
3.000,19.9,1.250
3.000,18.0,1.500
3.063,17.0,2.000
3.125,23.4,1.000
3.125,21.9,1.250
3.125,20.1,1.500
3.188,15.1,2.125
3.250,25.6,1.000
3.250,24.1,1.250
3.250,22.2,1.500
3.500,30.1,1.000
3.500,28.6,1.250
3.500,26.7,1.500
3.500,9.5,2.992
3.500,13.3,2.764
3.500,15.5,2.602
3.500,23.5,2.063
3.500,23.7,2.250
3.500,24.0,2.250
3.500,25.7,2.063
3.500,23.3,2.250
3.500,23.7,2.250
3.500,26.6,2.250
3.500,30.4,2.250
3.500,27.2,2.500
3.750,34.9,1.000
3.750,33.4,1.250
3.750,31.6,1.500
3.750,29.4,1.750
4.000,40.1,1.000
4.000,38.6,1.250
4.000,36.8,1.500
4.000,34.6,1.750
4.000,32.1,2.000
4.000,29.2,2.250
4.000,11.9,3.476
4.000,14.0,3.340
4.000,15.7,3.240
4.000,27.9,2.563
4.000,28.4,2.563
4.000,29.9,2.563
4.000,29.9,2.563
4.000,31.9,2.250
4.000,28.8,2.562
4.000,28.2,2.562
4.000,28.7,2.562
4.000,29.9,2.563
4.000,28.4,2.563
4.000,32.9,2.250
4.125,42.8,1.000
4.125,41.3,1.250
4.125,39.5,1.500
4.125,37.3,1.750
4.125,34.8,2.000
4.125,32.0,2.250
4.250,45.6,1.000
4.250,44.1,1.250
4.250,42.3,1.500
4.250,40.1,1.750
4.250,37.6,2.000
4.250,34.8,2.250
4.500,51.5,1.000
4.500,50.0,1.250
4.500,48.1,1.500
4.500,45.9,1.750
4.500,43.4,2.000
4.500,40.6,2.250
4.500,13.8,3.958
4.500,16.6,3.826
4.500,20.0,3.640
4.500,22.8,3.826
4.500,41.5,2.750
4.500,37.4,2.750
4.500,38.0,2.750
4.500,37.2,2.750
4.500,37.5,2.750
4.500,36.9,2.750
4.500,49.5,2.750
